reference_file,distorted_file,distortion_type,distortion_level,mlds_curve_value,mlds_sigma,percept_scale,estimated_mos,jod_distortion,jod_quality
img_01.png,rot_img_01_level_01.png,rotation,1,0.0,0.2207109,0.0,5.4356243992662,0.0,-0.0
img_01.png,rot_img_01_level_02.png,rotation,2,0.1139236,0.2207109,0.5161664,5.16712431010986,0.76526944975805,-0.76526944975805
img_01.png,rot_img_01_level_03.png,rotation,3,0.1854712,0.2207109,0.8403355,4.99849761869459,1.2458832765890142,-1.2458832765890142
img_01.png,rot_img_01_level_04.png,rotation,4,0.34635,0.2207109,1.569247,4.6193315150174,2.3265690835832604,-2.3265690835832604
img_01.png,rot_img_01_level_05.png,rotation,5,0.417098,0.2207109,1.889793,4.4525894923311,2.801811294316357,-2.801811294316357
img_01.png,rot_img_01_level_06.png,rotation,6,0.5548205,0.2207109,2.513788,4.12799898598835,3.72694766565276,-3.72694766565276
img_01.png,rot_img_01_level_07.png,rotation,7,0.6558334,0.2207109,2.971458,3.88992762798407,4.405490222996219,-4.405490222996219
img_01.png,rot_img_01_level_08.png,rotation,8,0.7881048,0.2207109,3.570755,3.57818455844075,5.294009284739971,-5.294009284739971
img_01.png,rot_img_01_level_09.png,rotation,9,0.8539165,0.2207109,3.868936,3.42307638967051,5.73609309685619,-5.73609309685619
img_01.png,rot_img_01_level_10.png,rotation,10,1.0,0.2207109,4.530813,3.07878037677519,6.717393405434022,-6.717393405434022
img_02.png,rot_img_02_level_01.png,rotation,1,0.0,0.3025799,0.0,5.4356243992662,0.0,-0.0
img_02.png,rot_img_02_level_02.png,rotation,2,0.03787288,0.3025799,0.1251665,5.37051513138401,0.1855721305825814,-0.1855721305825814
img_02.png,rot_img_02_level_03.png,rotation,3,0.152223,0.3025799,0.5030835,5.17392978953747,0.7458727131935631,-0.7458727131935631
img_02.png,rot_img_02_level_04.png,rotation,4,0.2446505,0.3025799,0.8085482,5.01503277651199,1.1987553550887111,-1.1987553550887111
img_02.png,rot_img_02_level_05.png,rotation,5,0.3890724,0.3025799,1.28585,4.76674932401589,1.906404062665428,-1.906404062665428
img_02.png,rot_img_02_level_06.png,rotation,6,0.49332,0.3025799,1.630379,4.58753179413223,2.417203522404945,-2.417203522404945
img_02.png,rot_img_02_level_07.png,rotation,7,0.64588,0.3025799,2.134577,4.32525744238742,3.1647285957710327,-3.1647285957710327
img_02.png,rot_img_02_level_08.png,rotation,8,0.7434033,0.3025799,2.456882,4.15760042086194,3.64257870380648,-3.64257870380648
img_02.png,rot_img_02_level_09.png,rotation,9,0.874687,0.3025799,2.890764,3.931903134709,4.285853119576128,-4.285853119576128
img_02.png,rot_img_02_level_10.png,rotation,10,1.0,0.3025799,3.304912,3.71647110557281,4.899869863165786,-4.899869863165786
