dataset,reference_id,reference_file,distorted_file,distortion_type,distortion_level,raw_metric_type,raw_metric_value,mos,native_jod,aligned_jod_distortion,aligned_jod_quality
RAID,1,img_01.png,rot_img_01_level_01.png,rotation,1,MLDS_psi,0.0,5.4356243992662,0.0,0.0,-0.0
RAID,1,img_01.png,rot_img_01_level_02.png,rotation,2,MLDS_psi,0.1139236,5.16712431010986,0.76526944975805,0.76526944975805,-0.76526944975805
RAID,1,img_01.png,rot_img_01_level_03.png,rotation,3,MLDS_psi,0.1854712,4.99849761869459,1.2458832765890142,1.2458832765890142,-1.2458832765890142
RAID,1,img_01.png,rot_img_01_level_04.png,rotation,4,MLDS_psi,0.34635,4.6193315150174,2.3265690835832604,2.3265690835832604,-2.3265690835832604
RAID,1,img_01.png,rot_img_01_level_05.png,rotation,5,MLDS_psi,0.417098,4.4525894923311,2.801811294316357,2.801811294316357,-2.801811294316357
RAID,1,img_01.png,rot_img_01_level_06.png,rotation,6,MLDS_psi,0.5548205,4.12799898598835,3.72694766565276,3.72694766565276,-3.72694766565276
RAID,1,img_01.png,rot_img_01_level_07.png,rotation,7,MLDS_psi,0.6558334,3.88992762798407,4.405490222996219,4.405490222996219,-4.405490222996219
RAID,1,img_01.png,rot_img_01_level_08.png,rotation,8,MLDS_psi,0.7881048,3.57818455844075,5.294009284739971,5.294009284739971,-5.294009284739971
RAID,1,img_01.png,rot_img_01_level_09.png,rotation,9,MLDS_psi,0.8539165,3.42307638967051,5.73609309685619,5.73609309685619,-5.73609309685619
RAID,1,img_01.png,rot_img_01_level_10.png,rotation,10,MLDS_psi,1.0,3.07878037677519,6.717393405434022,6.717393405434022,-6.717393405434022
RAID,2,img_02.png,rot_img_02_level_01.png,rotation,1,MLDS_psi,0.0,5.4356243992662,0.0,0.0,-0.0
RAID,2,img_02.png,rot_img_02_level_02.png,rotation,2,MLDS_psi,0.03787288,5.37051513138401,0.1855721305825814,0.1855721305825814,-0.1855721305825814
