reference,direction,shift_px,ssim,ssim_distance_d,predicted_jod
I01,right,1,0.6781379888651793,0.3218620111348207,1.8227230989312089
I01,right,2,0.41711886457434066,0.5828811354256593,2.6553362479883242
I01,right,3,0.3942657653057265,0.6057342346942736,2.7037629118845468
I01,right,4,0.3724575700670062,0.6275424299329938,2.7469562386622774
I01,right,5,0.353321715528653,0.646678284471347,2.782546718633064
I01,right,6,0.33733116731668533,0.6626688326833147,2.8107064238082664
I01,right,7,0.32583092205535114,0.6741690779446489,2.830103011893967
I01,right,8,0.3210436719661435,0.6789563280338565,2.8379720560980104
I01,right,9,0.31824326723156193,0.6817567327684381,2.8425202112169403
I01,right,10,0.31243084399154586,0.6875691560084541,2.851832110740693
I01,right,11,0.30774384016381623,0.6922561598361838,2.8592165610850167
I01,right,12,0.30464034018703023,0.6953596598129698,2.8640457652082585
I01,right,13,0.29887527959824267,0.7011247204017573,2.872890282157023
I01,right,14,0.2910954584966082,0.7089045415033919,2.8845694934552455
I01,right,15,0.28511577700264085,0.7148842229973591,2.893349715321648
I01,right,16,0.2795296888401078,0.7204703111598922,2.9014003421216694
I01,right,17,0.27516738372833915,0.7248326162716608,2.907586867071023
I01,right,18,0.27065231242202054,0.7293476875779794,2.91389854936332
I01,right,19,0.2660379658873351,0.7339620341126649,2.9202540496450995
I01,right,20,0.26315319802973414,0.7368468019702659,2.924179120117853
I01,right,21,0.26420058544190156,0.7357994145580984,2.922758288469276
I01,right,22,0.2602668601805658,0.7397331398194342,2.9280695571872535
I01,right,23,0.24916789146664425,0.7508321085333558,2.942692394901779
I01,right,24,0.24114469260314694,0.758855307396853,2.952936479007774
I01,right,25,0.2370319599797342,0.7629680400202659,2.9580837851335886
I01,right,26,0.2325011659802102,0.7674988340197898,2.9636741216061484
I01,right,27,0.22644896770651032,0.7735510322934896,2.9710123373503645
I01,right,28,0.21917609786693804,0.780823902133062,2.979638315329656
I01,right,29,0.2154079948547543,0.7845920051452457,2.9840262902039827
I01,right,30,0.21363911684494993,0.78636088315505,2.9860672856803925
I01,right,31,0.20974931024065582,0.7902506897593442,2.9905134656721124
I01,right,32,0.20758346212602352,0.7924165378739765,2.9929642578954505
I01,right,33,0.2036153019941926,0.7963846980058074,2.9974088250569526
I01,right,34,0.19846348993817203,0.8015365100618279,3.003092008280274
I01,right,35,0.19530121204787207,0.8046987879521279,3.006532282181178
I01,right,36,0.19162143716665328,0.8083785628333467,3.010489968308957
I01,right,37,0.18769571673732302,0.812304283262677,3.014658705510872
I01,right,38,0.1842942301684739,0.8157057698315261,3.0182266144275998
I01,right,39,0.18052497461250921,0.8194750253874907,3.022132948278288
I01,right,40,0.17822968010506038,0.8217703198949396,3.0244875697387483
I01,right,41,0.1776827937516507,0.8223172062483493,3.025045913241338
I01,right,42,0.179130841853443,0.820869158146557,3.023565283482667
I01,right,43,0.17882833612482443,0.8211716638751756,3.023875192347104
I01,right,44,0.17591010798126702,0.824089892018733,3.0268486842396713
I01,right,45,0.17305747918496017,0.8269425208150398,3.0297272159797366
I01,right,46,0.169873254877534,0.830126745122466,3.0329078182771285
I01,right,47,0.1688831468853393,0.8311168531146607,3.0338898544910062
I01,right,48,0.16777872366068253,0.8322212763393175,3.034981407498778
I01,right,49,0.16345524756325663,0.8365447524367433,3.039215532377459
I01,right,50,0.15765842292351373,0.8423415770764863,3.0447962538533746
I01,right,51,0.15417957463404727,0.8458204253659527,3.048093176545218
I01,right,52,0.15049905575893524,0.8495009442410648,3.0515391346557967
I01,right,53,0.14662610405646628,0.8533738959435337,3.0551190640820316
I01,right,54,0.14501723914736267,0.8549827608526374,3.0565924084837945
I01,right,55,0.1426355859071007,0.8573644140928993,3.058758700580568
I01,right,56,0.14166222058918387,0.8583377794108161,3.0596390085531118
I01,right,57,0.1399932271091213,0.8600067728908787,3.061141668336762
I01,right,58,0.13776013041740745,0.8622398695825926,3.0631388999213938
I01,right,59,0.1376587569529114,0.8623412430470886,3.063229206036972
I01,right,60,0.1394423942211058,0.8605576057788942,3.0616357333088056
I01,right,61,0.138789678151517,0.861210321848483,3.0622199828927315
I01,right,62,0.13465241409647782,0.8653475859035222,3.0658931993960747
I01,right,63,0.13219292744982822,0.8678070725501718,3.0680523897574288
I01,right,64,0.13119692403140085,0.8688030759685992,3.068921642102141
I01,right,65,0.12959556988873322,0.8704044301112668,3.0703130272371384
I01,right,66,0.12923486803711107,0.870765131962889,3.070625385489709
I01,right,67,0.12805323758759424,0.8719467624124058,3.0716459550413955
I01,right,68,0.1268101606927608,0.8731898393072393,3.072715157891489
I01,right,69,0.12896101518028516,0.8710389848197149,3.070862277965327
I01,right,70,0.12928089861883352,0.8707191013811665,3.0705855456407303
I01,right,71,0.12966629703964128,0.8703337029603587,3.070251734263092
I01,right,72,0.12916914953608472,0.8708308504639153,3.0706822545420485
I01,right,73,0.1250836633946078,0.8749163366053923,3.074192647471806
I01,right,74,0.12092039447993673,0.8790796055200633,3.077719782905387
I01,right,75,0.11742368753855852,0.8825763124614415,3.0806436165845854
I01,right,76,0.1169616075824838,0.8830383924175162,3.0810273800493873
I01,right,77,0.11526055912753574,0.8847394408724643,3.0824348985837764
I01,right,78,0.11046086082093244,0.8895391391790676,3.0863623919641796
I01,right,79,0.10749037890308698,0.892509621096913,3.0887608681780927
I01,right,80,0.1058831988614271,0.894116801138573,3.090048399967981
I01,right,81,0.10404243099026338,0.8959575690097367,3.0915143527951345
I01,right,82,0.10528734159551871,0.8947126584044813,3.0905239449463044
I01,right,83,0.10580565141836885,0.8941943485816312,3.0901103445763196
I01,right,84,0.1039752362805838,0.8960247637194162,3.0915676901311837
I01,right,85,0.10330152311975273,0.8966984768802473,3.092101784837202
I01,right,86,0.10464915747584845,0.8953508425241515,3.091032191547444
I01,right,87,0.10591411345882941,0.8940858865411706,3.0900237009009475
I01,right,88,0.10517307094307626,0.8948269290569237,3.090615031463508
I01,right,89,0.10517488191196805,0.894825118088032,3.0906135881972627
I01,right,90,0.10958599986763536,0.8904140001323646,3.0870713297489045
I01,right,91,0.11579914845632013,0.8842008515436799,3.081990134715511
I01,right,92,0.11674445462689521,0.8832555453731048,3.0812075186723984
I01,right,93,0.1145159686706925,0.8854840313293075,3.083048426183284
I01,right,94,0.1119111885550974,0.8880888114449026,3.0851824291001737
I01,right,95,0.10899647870571551,0.8910035212942845,3.087547845023008
I01,right,96,0.10931900241344451,0.8906809975865555,3.087287265685827
I01,right,97,0.10888611945600175,0.8911138805439982,3.0876369422778414
I01,right,98,0.10903097378280704,0.890969026217193,3.087519988898335
I01,right,99,0.10905340874684254,0.8909465912531574,3.0875018700162498
I01,right,100,0.10699339508173639,0.8930066049182637,3.089159767535744
I01,left,1,0.6781379888651793,0.3218620111348207,1.8227230989312089
I01,left,2,0.41711886457434066,0.5828811354256593,2.6553362479883242
I01,left,3,0.3942657653057265,0.6057342346942736,2.7037629118845468
I01,left,4,0.3724575700670062,0.6275424299329938,2.7469562386622774
I01,left,5,0.353321715528653,0.646678284471347,2.782546718633064
I01,left,6,0.33733116731668533,0.6626688326833147,2.8107064238082664
I01,left,7,0.32583092205535114,0.6741690779446489,2.830103011893967
I01,left,8,0.3210436719661435,0.6789563280338565,2.8379720560980104
I01,left,9,0.31824326723156193,0.6817567327684381,2.8425202112169403
I01,left,10,0.31243084399154586,0.6875691560084541,2.851832110740693
I01,left,11,0.30774384016381623,0.6922561598361838,2.8592165610850167
I01,left,12,0.30464034018703023,0.6953596598129698,2.8640457652082585
I01,left,13,0.29887527959824267,0.7011247204017573,2.872890282157023
I01,left,14,0.2910954584966082,0.7089045415033919,2.8845694934552455
I01,left,15,0.28511577700264085,0.7148842229973591,2.893349715321648
I01,left,16,0.2795296888401078,0.7204703111598922,2.9014003421216694
I01,left,17,0.27516738372833915,0.7248326162716608,2.907586867071023
I01,left,18,0.27065231242202054,0.7293476875779794,2.91389854936332
I01,left,19,0.2660379658873351,0.7339620341126649,2.9202540496450995
I01,left,20,0.26315319802973414,0.7368468019702659,2.924179120117853
I01,left,21,0.26420058544190156,0.7357994145580984,2.922758288469276
I01,left,22,0.2602668601805658,0.7397331398194342,2.9280695571872535
I01,left,23,0.24916789146664425,0.7508321085333558,2.942692394901779
I01,left,24,0.24114469260314694,0.758855307396853,2.952936479007774
I01,left,25,0.2370319599797342,0.7629680400202659,2.9580837851335886
I01,left,26,0.2325011659802102,0.7674988340197898,2.9636741216061484
I01,left,27,0.22644896770651032,0.7735510322934896,2.9710123373503645
I01,left,28,0.21917609786693804,0.780823902133062,2.979638315329656
I01,left,29,0.2154079948547543,0.7845920051452457,2.9840262902039827
I01,left,30,0.21363911684494993,0.78636088315505,2.9860672856803925
I01,left,31,0.20974931024065582,0.7902506897593442,2.9905134656721124
I01,left,32,0.20758346212602352,0.7924165378739765,2.9929642578954505
I01,left,33,0.2036153019941926,0.7963846980058074,2.9974088250569526
I01,left,34,0.19846348993817203,0.8015365100618279,3.003092008280274
I01,left,35,0.19530121204787207,0.8046987879521279,3.006532282181178
I01,left,36,0.19162143716665328,0.8083785628333467,3.010489968308957
I01,left,37,0.18769571673732302,0.812304283262677,3.014658705510872
