condition_id,dataset,content_id,dist_id,dist_level,is_hdr,test_file,reference_file,pix_per_deg,distortion_name,repeating_content_id,JOD
t-i01-t-01-1,tid2013,t-i01,t-01,1,0,tid2013/01/i01_01_1.png,tid2013/01/i01.png,31.2467,additive_gaussian_noise,l-05,0.034470919
t-i01-t-01-2,tid2013,t-i01,t-01,2,0,tid2013/01/i01_01_2.png,tid2013/01/i01.png,31.2467,additive_gaussian_noise,l-05,-0.175516306
t-i01-t-01-3,tid2013,t-i01,t-01,3,0,tid2013/01/i01_01_3.png,tid2013/01/i01.png,31.2467,additive_gaussian_noise,l-05,-0.708361862
t-i01-t-01-4,tid2013,t-i01,t-01,4,0,tid2013/01/i01_01_4.png,tid2013/01/i01.png,31.2467,additive_gaussian_noise,l-05,-1.25415525
t-i01-t-01-5,tid2013,t-i01,t-01,5,0,tid2013/01/i01_01_5.png,tid2013/01/i01.png,31.2467,additive_gaussian_noise,l-05,-1.770809111
t-i01-t-02-1,tid2013,t-i01,t-02,1,0,tid2013/01/i01_02_1.png,tid2013/01/i01.png,31.2467,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,l-05,0.237917791
t-i01-t-02-2,tid2013,t-i01,t-02,2,0,tid2013/01/i01_02_2.png,tid2013/01/i01.png,31.2467,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,l-05,0.17845558
t-i01-t-02-3,tid2013,t-i01,t-02,3,0,tid2013/01/i01_02_3.png,tid2013/01/i01.png,31.2467,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,l-05,-0.213000704
t-i01-t-02-4,tid2013,t-i01,t-02,4,0,tid2013/01/i01_02_4.png,tid2013/01/i01.png,31.2467,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,l-05,-0.677279052
t-i01-t-02-5,tid2013,t-i01,t-02,5,0,tid2013/01/i01_02_5.png,tid2013/01/i01.png,31.2467,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,l-05,-1.105593551
t-i01-t-03-1,tid2013,t-i01,t-03,1,0,tid2013/01/i01_03_1.png,tid2013/01/i01.png,31.2467,spatially_correlated_noise,l-05,-0.722482513
t-i01-t-03-2,tid2013,t-i01,t-03,2,0,tid2013/01/i01_03_2.png,tid2013/01/i01.png,31.2467,spatially_correlated_noise,l-05,-1.347806456
t-i01-t-03-3,tid2013,t-i01,t-03,3,0,tid2013/01/i01_03_3.png,tid2013/01/i01.png,31.2467,spatially_correlated_noise,l-05,-2.028032256
t-i01-t-03-4,tid2013,t-i01,t-03,4,0,tid2013/01/i01_03_4.png,tid2013/01/i01.png,31.2467,spatially_correlated_noise,l-05,-2.698561568
t-i01-t-03-5,tid2013,t-i01,t-03,5,0,tid2013/01/i01_03_5.png,tid2013/01/i01.png,31.2467,spatially_correlated_noise,l-05,-3.418143827
t-i01-t-04-1,tid2013,t-i01,t-04,1,0,tid2013/01/i01_04_1.png,tid2013/01/i01.png,31.2467,masked_noise,l-05,0.252240213
t-i01-t-04-2,tid2013,t-i01,t-04,2,0,tid2013/01/i01_04_2.png,tid2013/01/i01.png,31.2467,masked_noise,l-05,0.114476857
t-i01-t-04-3,tid2013,t-i01,t-04,3,0,tid2013/01/i01_04_3.png,tid2013/01/i01.png,31.2467,masked_noise,l-05,-0.195981535
t-i01-t-04-4,tid2013,t-i01,t-04,4,0,tid2013/01/i01_04_4.png,tid2013/01/i01.png,31.2467,masked_noise,l-05,-0.260141596
t-i01-t-04-5,tid2013,t-i01,t-04,5,0,tid2013/01/i01_04_5.png,tid2013/01/i01.png,31.2467,masked_noise,l-05,-0.779423315
t-i01-t-05-1,tid2013,t-i01,t-05,1,0,tid2013/01/i01_05_1.png,tid2013/01/i01.png,31.2467,high_frequency_noise,l-05,0.15314117
t-i01-t-05-2,tid2013,t-i01,t-05,2,0,tid2013/01/i01_05_2.png,tid2013/01/i01.png,31.2467,high_frequency_noise,l-05,0.039458325
t-i01-t-05-3,tid2013,t-i01,t-05,3,0,tid2013/01/i01_05_3.png,tid2013/01/i01.png,31.2467,high_frequency_noise,l-05,-0.44135251
t-i01-t-05-4,tid2013,t-i01,t-05,4,0,tid2013/01/i01_05_4.png,tid2013/01/i01.png,31.2467,high_frequency_noise,l-05,-1.501254704
t-i01-t-05-5,tid2013,t-i01,t-05,5,0,tid2013/01/i01_05_5.png,tid2013/01/i01.png,31.2467,high_frequency_noise,l-05,-2.767657107
t-i01-t-06-1,tid2013,t-i01,t-06,1,0,tid2013/01/i01_06_1.png,tid2013/01/i01.png,31.2467,impulse_noise,l-05,-1.507473861
t-i01-t-06-2,tid2013,t-i01,t-06,2,0,tid2013/01/i01_06_2.png,tid2013/01/i01.png,31.2467,impulse_noise,l-05,-1.68443084
t-i01-t-06-3,tid2013,t-i01,t-06,3,0,tid2013/01/i01_06_3.png,tid2013/01/i01.png,31.2467,impulse_noise,l-05,-2.17178529
t-i01-t-06-4,tid2013,t-i01,t-06,4,0,tid2013/01/i01_06_4.png,tid2013/01/i01.png,31.2467,impulse_noise,l-05,-2.300814706
t-i01-t-06-5,tid2013,t-i01,t-06,5,0,tid2013/01/i01_06_5.png,tid2013/01/i01.png,31.2467,impulse_noise,l-05,-3.160037916
t-i01-t-07-1,tid2013,t-i01,t-07,1,0,tid2013/01/i01_07_1.png,tid2013/01/i01.png,31.2467,quantization_noise,l-05,-0.324107309
t-i01-t-07-2,tid2013,t-i01,t-07,2,0,tid2013/01/i01_07_2.png,tid2013/01/i01.png,31.2467,quantization_noise,l-05,-0.847549575
t-i01-t-07-3,tid2013,t-i01,t-07,3,0,tid2013/01/i01_07_3.png,tid2013/01/i01.png,31.2467,quantization_noise,l-05,-1.615962525
t-i01-t-07-4,tid2013,t-i01,t-07,4,0,tid2013/01/i01_07_4.png,tid2013/01/i01.png,31.2467,quantization_noise,l-05,-2.568082422
t-i01-t-07-5,tid2013,t-i01,t-07,5,0,tid2013/01/i01_07_5.png,tid2013/01/i01.png,31.2467,quantization_noise,l-05,-3.832276997
t-i01-t-08-1,tid2013,t-i01,t-08,1,0,tid2013/01/i01_08_1.png,tid2013/01/i01.png,31.2467,gaussian_blur,l-05,-0.325920964
t-i01-t-08-2,tid2013,t-i01,t-08,2,0,tid2013/01/i01_08_2.png,tid2013/01/i01.png,31.2467,gaussian_blur,l-05,-0.972117158
t-i01-t-08-3,tid2013,t-i01,t-08,3,0,tid2013/01/i01_08_3.png,tid2013/01/i01.png,31.2467,gaussian_blur,l-05,-2.196330347
t-i01-t-08-4,tid2013,t-i01,t-08,4,0,tid2013/01/i01_08_4.png,tid2013/01/i01.png,31.2467,gaussian_blur,l-05,-3.042865228
t-i01-t-08-5,tid2013,t-i01,t-08,5,0,tid2013/01/i01_08_5.png,tid2013/01/i01.png,31.2467,gaussian_blur,l-05,-4.083968171
t-i01-t-09-1,tid2013,t-i01,t-09,1,0,tid2013/01/i01_09_1.png,tid2013/01/i01.png,31.2467,image_denoising,l-05,0.304521081
t-i01-t-09-2,tid2013,t-i01,t-09,2,0,tid2013/01/i01_09_2.png,tid2013/01/i01.png,31.2467,image_denoising,l-05,-0.349252549
t-i01-t-09-3,tid2013,t-i01,t-09,3,0,tid2013/01/i01_09_3.png,tid2013/01/i01.png,31.2467,image_denoising,l-05,-1.136595351
t-i01-t-09-4,tid2013,t-i01,t-09,4,0,tid2013/01/i01_09_4.png,tid2013/01/i01.png,31.2467,image_denoising,l-05,-3.050853714
t-i01-t-09-5,tid2013,t-i01,t-09,5,0,tid2013/01/i01_09_5.png,tid2013/01/i01.png,31.2467,image_denoising,l-05,-4.930595119
t-i01-t-10-1,tid2013,t-i01,t-10,1,0,tid2013/01/i01_10_1.png,tid2013/01/i01.png,31.2467,JPEG_compression,l-05,0.232889224
t-i01-t-10-2,tid2013,t-i01,t-10,2,0,tid2013/01/i01_10_2.png,tid2013/01/i01.png,31.2467,JPEG_compression,l-05,0.190651383
t-i01-t-10-3,tid2013,t-i01,t-10,3,0,tid2013/01/i01_10_3.png,tid2013/01/i01.png,31.2467,JPEG_compression,l-05,-0.607514348
t-i01-t-10-4,tid2013,t-i01,t-10,4,0,tid2013/01/i01_10_4.png,tid2013/01/i01.png,31.2467,JPEG_compression,l-05,-2.792865028
t-i01-t-10-5,tid2013,t-i01,t-10,5,0,tid2013/01/i01_10_5.png,tid2013/01/i01.png,31.2467,JPEG_compression,l-05,-4.170779902
t-i01-t-11-1,tid2013,t-i01,t-11,1,0,tid2013/01/i01_11_1.png,tid2013/01/i01.png,31.2467,JPEG2000_compression,l-05,0.088606555
t-i01-t-11-2,tid2013,t-i01,t-11,2,0,tid2013/01/i01_11_2.png,tid2013/01/i01.png,31.2467,JPEG2000_compression,l-05,-0.048344124
t-i01-t-11-3,tid2013,t-i01,t-11,3,0,tid2013/01/i01_11_3.png,tid2013/01/i01.png,31.2467,JPEG2000_compression,l-05,-0.674189526
t-i01-t-11-4,tid2013,t-i01,t-11,4,0,tid2013/01/i01_11_4.png,tid2013/01/i01.png,31.2467,JPEG2000_compression,l-05,-2.283154966
t-i01-t-11-5,tid2013,t-i01,t-11,5,0,tid2013/01/i01_11_5.png,tid2013/01/i01.png,31.2467,JPEG2000_compression,l-05,-5.081500998
t-i01-t-12-1,tid2013,t-i01,t-12,1,0,tid2013/01/i01_12_1.png,tid2013/01/i01.png,31.2467,JPEG_transmission_errors,l-05,0.237379419
t-i01-t-12-2,tid2013,t-i01,t-12,2,0,tid2013/01/i01_12_2.png,tid2013/01/i01.png,31.2467,JPEG_transmission_errors,l-05,0.148800755
t-i01-t-12-3,tid2013,t-i01,t-12,3,0,tid2013/01/i01_12_3.png,tid2013/01/i01.png,31.2467,JPEG_transmission_errors,l-05,-1.452828594
t-i01-t-12-4,tid2013,t-i01,t-12,4,0,tid2013/01/i01_12_4.png,tid2013/01/i01.png,31.2467,JPEG_transmission_errors,l-05,-1.684811772
t-i01-t-12-5,tid2013,t-i01,t-12,5,0,tid2013/01/i01_12_5.png,tid2013/01/i01.png,31.2467,JPEG_transmission_errors,l-05,-2.240702535
t-i01-t-13-1,tid2013,t-i01,t-13,1,0,tid2013/01/i01_13_1.png,tid2013/01/i01.png,31.2467,JPEG2000_transmission_errors,l-05,-0.118007691
t-i01-t-13-2,tid2013,t-i01,t-13,2,0,tid2013/01/i01_13_2.png,tid2013/01/i01.png,31.2467,JPEG2000_transmission_errors,l-05,-1.614873346
t-i01-t-13-3,tid2013,t-i01,t-13,3,0,tid2013/01/i01_13_3.png,tid2013/01/i01.png,31.2467,JPEG2000_transmission_errors,l-05,-2.417397932
t-i01-t-13-4,tid2013,t-i01,t-13,4,0,tid2013/01/i01_13_4.png,tid2013/01/i01.png,31.2467,JPEG2000_transmission_errors,l-05,-2.418521526
t-i01-t-13-5,tid2013,t-i01,t-13,5,0,tid2013/01/i01_13_5.png,tid2013/01/i01.png,31.2467,JPEG2000_transmission_errors,l-05,-2.760355459
t-i01-t-14-1,tid2013,t-i01,t-14,1,0,tid2013/01/i01_14_1.png,tid2013/01/i01.png,31.2467,non_eccentricity_pattern_noise,l-05,0.055210039
t-i01-t-14-2,tid2013,t-i01,t-14,2,0,tid2013/01/i01_14_2.png,tid2013/01/i01.png,31.2467,non_eccentricity_pattern_noise,l-05,0.288567303
t-i01-t-14-3,tid2013,t-i01,t-14,3,0,tid2013/01/i01_14_3.png,tid2013/01/i01.png,31.2467,non_eccentricity_pattern_noise,l-05,0.045920824
