reference_file,distorted_file,distortion_type,distortion_level,mos,jod_quality,jod_distortion
i01.png,i01_01_1.png,additive_gaussian_noise,1,5.51429,0.034470919,-0.034470919
i01.png,i01_01_2.png,additive_gaussian_noise,2,5.56757,-0.175516306,0.175516306
i01.png,i01_01_3.png,additive_gaussian_noise,3,4.94444,-0.708361862,0.708361862
i01.png,i01_01_4.png,additive_gaussian_noise,4,4.37838,-1.25415525,1.25415525
i01.png,i01_01_5.png,additive_gaussian_noise,5,3.86486,-1.770809111,1.770809111
i01.png,i01_02_1.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,1,6.02857,0.237917791,-0.237917791
i01.png,i01_02_2.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,2,6.10811,0.17845558,-0.17845558
i01.png,i01_02_3.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,3,5.38889,-0.213000704,0.213000704
i01.png,i01_02_4.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,4,4.71429,-0.677279052,0.677279052
i01.png,i01_02_5.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,5,4.36111,-1.105593551,1.105593551
i01.png,i01_03_1.png,spatially_correlated_noise,1,4.77143,-0.722482513,0.722482513
i01.png,i01_03_2.png,spatially_correlated_noise,2,4.27027,-1.347806456,1.347806456
i01.png,i01_03_3.png,spatially_correlated_noise,3,3.7027,-2.028032256,2.028032256
i01.png,i01_03_4.png,spatially_correlated_noise,4,3.19444,-2.698561568,2.698561568
i01.png,i01_03_5.png,spatially_correlated_noise,5,2.71429,-3.418143827,3.418143827
i01.png,i01_04_1.png,masked_noise,1,5.97143,0.252240213,-0.252240213
i01.png,i01_04_2.png,masked_noise,2,5.75676,0.114476857,-0.114476857
i01.png,i01_04_3.png,masked_noise,3,5.27027,-0.195981535,0.195981535
i01.png,i01_04_4.png,masked_noise,4,5.24324,-0.260141596,0.260141596
i01.png,i01_04_5.png,masked_noise,5,4.71429,-0.779423315,0.779423315
i01.png,i01_05_1.png,high_frequency_noise,1,5.91892,0.15314117,-0.15314117
i01.png,i01_05_2.png,high_frequency_noise,2,5.7027,0.039458325,-0.039458325
i01.png,i01_05_3.png,high_frequency_noise,3,5.08333,-0.44135251,0.44135251
i01.png,i01_05_4.png,high_frequency_noise,4,4.13889,-1.501254704,1.501254704
i01.png,i01_05_5.png,high_frequency_noise,5,3.13889,-2.767657107,2.767657107
i01.png,i01_06_1.png,impulse_noise,1,4.0,-1.507473861,1.507473861
i01.png,i01_06_2.png,impulse_noise,2,3.89189,-1.68443084,1.68443084
i01.png,i01_06_3.png,impulse_noise,3,3.72973,-2.17178529,2.17178529
i01.png,i01_06_4.png,impulse_noise,4,3.48571,-2.300814706,2.300814706
i01.png,i01_06_5.png,impulse_noise,5,2.94444,-3.160037916,3.160037916
i01.png,i01_07_1.png,quantization_noise,1,5.08333,-0.324107309,0.324107309
i01.png,i01_07_2.png,quantization_noise,2,4.75,-0.847549575,0.847549575
i01.png,i01_07_3.png,quantization_noise,3,4.0,-1.615962525,1.615962525
i01.png,i01_07_4.png,quantization_noise,4,3.22222,-2.568082422,2.568082422
i01.png,i01_07_5.png,quantization_noise,5,2.19444,-3.832276997,3.832276997
i01.png,i01_08_1.png,gaussian_blur,1,5.18919,-0.325920964,0.325920964
i01.png,i01_08_2.png,gaussian_blur,2,4.47222,-0.972117158,0.972117158
i01.png,i01_08_3.png,gaussian_blur,3,3.48649,-2.196330347,2.196330347
