reference_file,distorted_file,distortion_type,distortion_level,mos,jod_quality,jod_distortion,official_ssim,official_ssim_dist,reference_id,pred_jod_all_cv,pred_jod_gn_cv
i01.png,i01_01_1.png,additive_gaussian_noise,1,5.51429,0.034470919,-0.034470919,0.9627,0.0373,1,0.8372064008142757,0.31118883241017414
i01.png,i01_01_2.png,additive_gaussian_noise,2,5.56757,-0.175516306,0.175516306,0.9318,0.06820000000000004,1,0.9324461369574114,0.4893563455854837
i01.png,i01_01_3.png,additive_gaussian_noise,3,4.94444,-0.708361862,0.708361862,0.8779,0.12209999999999999,1,1.2406945206032773,0.798869412576805
i01.png,i01_01_4.png,additive_gaussian_noise,4,4.37838,-1.25415525,1.25415525,0.8,0.19999999999999996,1,2.077987493515176,1.2295497593342128
i01.png,i01_01_5.png,additive_gaussian_noise,5,3.86486,-1.770809111,1.770809111,0.6927,0.3073,1,3.1439439959445927,1.7583692459961453
i01.png,i01_02_1.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,1,6.02857,0.237917791,-0.237917791,0.9896,0.010399999999999965,1,0.7850013054106304,
i01.png,i01_02_2.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,2,6.10811,0.17845558,-0.17845558,0.9804,0.01959999999999995,1,0.8003308521508464,
i01.png,i01_02_3.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,3,5.38889,-0.213000704,0.213000704,0.9623,0.037699999999999956,1,0.8381679605818999,
i01.png,i01_02_4.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,4,4.71429,-0.677279052,0.677279052,0.9317,0.06830000000000003,1,0.932833016520092,
i01.png,i01_02_5.png,additive_noise_in_color_more_intensive_than_additive_noise_in_the_luminance,5,4.36111,-1.105593551,1.105593551,0.8786,0.12139999999999995,1,1.2352284292570115,
i01.png,i01_03_1.png,spatially_correlated_noise,1,4.77143,-0.722482513,0.722482513,0.9704,0.02959999999999996,1,0.8198539241066868,
i01.png,i01_03_2.png,spatially_correlated_noise,2,4.27027,-1.347806456,1.347806456,0.9437,0.05630000000000002,1,0.8903170779999157,
i01.png,i01_03_3.png,spatially_correlated_noise,3,3.7027,-2.028032256,2.028032256,0.9004,0.09960000000000002,1,1.0855050571781124,
i01.png,i01_03_4.png,spatially_correlated_noise,4,3.19444,-2.698561568,2.698561568,0.8307,0.1693,1,1.7032078955632204,
i01.png,i01_03_5.png,spatially_correlated_noise,5,2.71429,-3.418143827,3.418143827,0.7344,0.26559999999999995,1,2.8293832121261904,
i01.png,i01_04_1.png,masked_noise,1,5.97143,0.252240213,-0.252240213,0.982,0.018000000000000016,1,0.7974941914332092,
